ID,text,annotator
4,"Has trained for many years here and Bornholmsvej, has just come from the Factory and good staff but has always been to you here as machines are the coolest and straight to, and everything is as I left it •20 figures •",all
8,"I trained 4-6 times a week for several years, as there is always a center nearby - super easy - so there is no excuse not to squeeze a quick workout into a busy everyday life, and still stick to a healthy and active lifestyle.Generally a friendly staff, wide selection of machines, as well as fun and efficient teams ",all
12,"We train in PureGym at Christianshavn. It is a nice centre with a high ceiling - many opportunities for versatile training and you feel comfortable among the other guests in the center. There is almost always room to train - there is clean and nice and there is a friendly staff. However, there is very little area in the center for extension and self-training.",all
13,"New dumbbells are nice. The center always has a good tone and a welcoming staff. The bathroom and men's changing can easily withstand a refreshment. Currently, the men's bath has been rebuilt - though I find it highly questionable that there is no progress in the renovation at all!! The bath has been closed since the 20th and there is just scratched in a hole in the floor.",all
15,"Great to get going! Sometimes it can be difficult with the motivation, but then it's good to have a training taster who can keep you going.",all
16,Got the worst treatment in Hobro after center manager has changed in my membership. My card didn't work that goes 14 days but fatigue text from center manager and staff before the card works again..the center is dirty and several machines are broken. Can't recommend the Hobro center. But Gug is super fine.,all
19,"It is a good place to train, here comes people of all age groups - the service is top and the same goes for machines, weights etc. and fine cleaning has been done.",all
20,"floors in the men's bathrooms are smooth so you have to walk very carefully, so some of the machines intrude when they break up all the time",all
24,Feels welcome to me.Worth it's a small center.,Gino
25,Good facilities and in general a good place to train,all
28,Good Teacher,all
29,Clean rooms and very friendly/ helpful staff!,all
30,"Unfortunately this morning I have had a rather bad experience of your customer service at Jens Baggesensvej in Aarhus. I work out in the morning and arrive at the center at 7 a.m., where I find out that I have unfortunately forgotten my card. No problem I think, because I know that there are always staff who clean up and fill up goods etc., who must be able to help poor me. A personal trainer is behind the box and accepts my message, and goes down to the staff who are doing the cleaning downstairs. Two minutes later he comes back and tells me that they can't help when they first serve customers from 8 a.m. so I could just wait an hour. I thought that was a terrible experience and I'm going to report out of the center because of it.",Gino
37,The best machines in the city and the sweetest staff,all
38,Very fond of team training. Gets the whole body trained. Good instructors and good atmosphere. Space for everyone.,all
41,"There are good machines, however, which are often moved around. Pretty good dressing conditions and cupboards where hangers are often missing.",Gino
44,"Really cool place, friendly staff, good team.",Gino
45,Training centre with many machines and many options.,all
47,Mobility team and senior team fit well when you don't belong to the young moreThe timing of the teams is also really fine,Gino
48,"Boxing training is very good, but the number of hours is too little.",Gino
49,"Not the best place to train, too many in a gym.",all
51,"Nice clean, sweet staff and good atmosphere",all
54,"I've been trying to work out in PureGym Vejlevej, Fredericia. My card has been jammed due to a situation that happened 3 days ago. I could understand on the manager who was working today (26/10/23 at 13.30) that the head office has decided to banish me for 2 years for threats which is the lie. Furthermore, the manager said that there is no sound on the surveillance but that I have threatened one of the members The right version is that I was pushed and threatened by a member who is clearly on steroids in PureGym. He was pushing me away and threatened me violently. The police came and questioned us both. The police closed the case (for 3 days ago 23/10/23 and did not want to look at the monitoring and assessed that he was not allowed to use both machines at the same time. But according to this manager's the head office will want to make a decision anyway. The police closed the case (for 3 days ago 23/10/23 and would not look at the monitoring and decided that there was no push on the threat or like. But the video. But, according to this case, the manager's got to the head manager's guy's guy's guy wants to run a guy's guy's quite want to make a decision anyway quite a decision. I made a decision. I made a decision. I made a decision. I have made a decision on the case.",all
58,The centre in Vanløse is under pressure. The indoor climate is bad and too hot,Gino
64,"Go mood, friendly staff, and cleaning tiptop",all
67,Nice large centre with many machines. Staff are nice. There are good parking options.,Gino
68,Good director.,Gino
70,"Once again, PureGym proves to me how little their members mean. I meet in this morning to train. There are two women in the bike room who have really loud music, I go in and nicely ask if they won't turn down, where one of them breaks out that it's only for an hour and that they should be allowed to be here, I explain that the same thing applies to me and she just keeps repeating itself, so I just go out again. Later I get an email with a warning because of my inappropriate advice and then find out that one of the two women was a director. I don't get the opportunity to defend myself and tell my side and try to send a complaint to the member service, but also gets rejected and get a short answer to keep the warning. It's pure principle for me and it's so unfair, I've been a member for 10 years + and always behaved properly. To be treated like this after all ",all
71,Cosy center and talented instructors.Bike instructors are always well prepared.,all
72,"It's a nice place to come🙂, and there's the training equipment you need",all
74,Good training - but equipment a little worn out.,Gino
75,"One of the best centres I've visited, it's big, tidy, clean, and there's the tools that need to be.",all
76,Good and clean training rooms and bath conditions,Gino
77,Always high standard with cleaning and staff with accommodating,all
78,Good reception at reception and easy to get started again,all
81,Super atmosphere,all
83,"Clean and neat, nice rooms and nice that Puregym has staffing also in outer times",Gino
