ID,text,annotator
3,"Sweet nice young people working, they have a smile on their lips and are always helpful say hi and goodbye..",Bogdan
4,"Has trained for many years here and Bornholmsvej, has just come from the Factory and good staff but has always been to you here as machines are the coolest and straight to, and everything is as I left it •20 figures •",all
6,"I exercise early in the morning and start before staff arrives. A fine arrangement that can be done. Now, however, I have experienced my card twice in the past while having been rejected by a technique error that I cannot get an explanation for. I have had the card checked and it is not a problem. I have to wait for the neighborhood to go before you can use the card again. Here I have come in, but it is annoying. The first time this happened I had my membership card exchanged, but the same mistake repeated with the new one.",Bogdan
7,"there is a nice atmosphere in the morning there is what it takes to get a good training, many have trained together for several years, there are few things that could get better, we train 3 times a week on Bondovej in odense",Bogdan
8,"I trained 4-6 times a week for several years, as there is always a center nearby - super easy - so there is no excuse not to squeeze a quick workout into a busy everyday life, and still stick to a healthy and active lifestyle.Generally a friendly staff, wide selection of machines, as well as fun and efficient teams ",all
12,"We train in PureGym at Christianshavn. It is a nice centre with a high ceiling - many opportunities for versatile training and you feel comfortable among the other guests in the center. There is almost always room to train - there is clean and nice and there is a friendly staff. However, there is very little area in the center for extension and self-training.",all
13,"New dumbbells are nice. The center always has a good tone and a welcoming staff. The bathroom and men's changing can easily withstand a refreshment. Currently, the men's bath has been rebuilt - though I find it highly questionable that there is no progress in the renovation at all!! The bath has been closed since the 20th and there is just scratched in a hole in the floor.",all
15,"Great to get going! Sometimes it can be difficult with the motivation, but then it's good to have a training taster who can keep you going.",all
16,Got the worst treatment in Hobro after center manager has changed in my membership. My card didn't work that goes 14 days but fatigue text from center manager and staff before the card works again..the center is dirty and several machines are broken. Can't recommend the Hobro center. But Gug is super fine.,all
17,My end at V Bro Kh is well designed and staff are welcoming. Good advice for the chain: Rate much more on +50 year old customers. One study after another document that strength training is the main pillar to maintain a moving and healthy body.The rate could be open offers at special quiet times.,Bogdan
19,"It is a good place to train, here comes people of all age groups - the service is top and the same goes for machines, weights etc. and fine cleaning has been done.",all
20,"floors in the men's bathrooms are smooth so you have to walk very carefully, so some of the machines intrude when they break up all the time",all
21,I started my membership in October and halfway into the month I choose to quit my membership because I quit school in early November but then I see that I wasn't out of business so I had to pay for November but then I quit today (1/11) also I see that my membership doesn't stop until 31/12 so I have to pay for 2 months I can't train,Bogdan
22,Good instructor and good local social network,Bogdan
23,"Good training program, good and committed trainer!",Bogdan
25,Good facilities and in general a good place to train,all
28,Good Teacher,all
29,Clean rooms and very friendly/ helpful staff!,all
35,Best PureGym I've been to was at Grønløkkevej,Bogdan
37,The best machines in the city and the sweetest staff,all
38,Very fond of team training. Gets the whole body trained. Good instructors and good atmosphere. Space for everyone.,all
45,Training centre with many machines and many options.,all
49,"Not the best place to train, too many in a gym.",all
51,"Nice clean, sweet staff and good atmosphere",all
54,"I've been trying to work out in PureGym Vejlevej, Fredericia. My card has been jammed due to a situation that happened 3 days ago. I could understand on the manager who was working today (26/10/23 at 13.30) that the head office has decided to banish me for 2 years for threats which is the lie. Furthermore, the manager said that there is no sound on the surveillance but that I have threatened one of the members The right version is that I was pushed and threatened by a member who is clearly on steroids in PureGym. He was pushing me away and threatened me violently. The police came and questioned us both. The police closed the case (for 3 days ago 23/10/23 and did not want to look at the monitoring and assessed that he was not allowed to use both machines at the same time. But according to this manager's the head office will want to make a decision anyway. The police closed the case (for 3 days ago 23/10/23 and would not look at the monitoring and decided that there was no push on the threat or like. But the video. But, according to this case, the manager's got to the head manager's guy's guy's guy wants to run a guy's guy's quite want to make a decision anyway quite a decision. I made a decision. I made a decision. I made a decision. I have made a decision on the case.",all
64,"Go mood, friendly staff, and cleaning tiptop",all
65,"Cute staff. Nice and clean. Good team training. However, a little small due to a lot of people registering this time of year.",Bogdan
70,"Once again, PureGym proves to me how little their members mean. I meet in this morning to train. There are two women in the bike room who have really loud music, I go in and nicely ask if they won't turn down, where one of them breaks out that it's only for an hour and that they should be allowed to be here, I explain that the same thing applies to me and she just keeps repeating itself, so I just go out again. Later I get an email with a warning because of my inappropriate advice and then find out that one of the two women was a director. I don't get the opportunity to defend myself and tell my side and try to send a complaint to the member service, but also gets rejected and get a short answer to keep the warning. It's pure principle for me and it's so unfair, I've been a member for 10 years + and always behaved properly. To be treated like this after all ",all
71,Cosy center and talented instructors.Bike instructors are always well prepared.,all
72,"It's a nice place to come🙂, and there's the training equipment you need",all
75,"One of the best centres I've visited, it's big, tidy, clean, and there's the tools that need to be.",all
77,Always high standard with cleaning and staff with accommodating,all
78,Good reception at reception and easy to get started again,all
80,The age limit is too low and too many rogue members,Bogdan
81,Super atmosphere,all
85,The company lacks innovation - and here I think that changing the name to Pure Gym cannot do it. Recent bad experience: yoga team I was on was so badly heated that I freeze even though I was wearing a long sleeved shirt. Is it supposed to completely abolish the Hot-Yoga teams and instead introduce Frys-Yoga?,Bogdan
87,The center usually works well but within the last 3 weeks there have been errors on several machines - including leg pressure,all
88,Snuffy.Peanut and too expensive gradually. Pyregym name and a little paint do not correct it.,Bogdan
94,Good gym. With welcoming staff. OK space and training equipment. There's always coffee ;),Bogdan
96,"Although atmosphere, helpful and turning staff. Many team options and nice atmosphere and indoor climate",all
97,Nice to come Puregym always smile staff and helpful,all
