Unnamed: 0,author_name,text,annotator
0,Arne Ziebell Olsen,"This applies only to Gentofte/Lyngbyvej and Oslo Square. Good functional-right machines. Lovely teams with a ORDENT floor that doesn't load the joints and tendons, and the right lighting, ALWAYS clean - all over, and always friendly and welcoming staff:-)",all
1,Anette,"Great selection of machines and team training. Clean centers, calm and welcoming atmosphere. Super service-minded staff. Professional and motivating instructors, with targeted training. It's fun to be on hold, it's nice to step in the door, I always meet a smile on my lip.",all
2,Laura Lacziko,"The mood is good, and the place is large enough and has a good selection of equipment. I would like if there was a rule about going outside the shoes out at the entrance and also cleaning the shower drain system more often. Hair gets clogged up up there and it smells. It would also be nice if everyone could contribute more by, for example, putting the weights back where they belong!!!",all
3,Hanne Andersen,Feel welcome to me.Good directors.But please put up notes that the girls have to close the closet when they go. It annoys me boundlessly that they yawn and you walk into them.,all
4,Henriette Ini Bing,"I love my Zumba team at Ditte on the Library Road in Hvidovre.But the center is really dirty all over, you shouldn't look along,floor/walls, changing clothes, shower, toilet, in short, a very dirty center.",all
5,Lone,Clean and neat. Good bright rooms. Many and good machines. Helpful staff. Nice that you can choose to train in several centers.,all
6,Sucena Gomes,"creates me online as soon as I have paid and the money is taken from my account - it says ""couldn""t big entered data. Please try later it just happened again for the second time now. Also, you have to wait 8+ days before your money comes back in the account. For your own sake, just go straight down to the fitness center, and set up there - as it clearly doesn't work online •",all
7,KELD VOLDER,A nice gym with good harmony and room for everyone regardless of the level of ambition.There are new colours everywhere and employees clean up and clean up when needed.,all
8,Jakob Søndergaard,"Puregym is a very good gym with a wide range of training machines etc. There are good bathroom conditions, nice and clean and staff - which are friendly and helpful. It is clearly recommended to choose this center.",all
9,Peter Birk,"A good and clean gym with welcoming employees.Some of the rowing machines are inoperative, and weight benches are missing for the stomach and back exercises in a lying state.",all
10,Christine ,"It is always a good experience to get to the center - smiling and sweet employees. A cozy and nice atmosphere everywhere. Everyone is welcoming, and you are just part of the community from day one. There are so many cool teams on the team plan that it can be difficult to choose •",all
11,Stephanie,There should be some class teaching where you learn how to use the machines... it's annoying that you can't learn it incl. in your membership Good service but better reception of new cue be Nice... i.e. tour of the machines etc.,all
12,Brian,Training in Pure Gym has recently become a deteriorated experience. Cleaning and maintaining machines are heavily decreased as well as the purchase of various options are saved away.,all
13,Dorte Eisensø,"A smaller center- nice, untied and neat and clean. Most staff are sweet and friendly",all
14,josi bjerre,Rødovre center has fallen dramatically in service and you don't feel very welcome.The café area is under all the criticism that is lacking chairs/table and the bar chairs are put together with tape!!Water in the shower is almost not existing!The instructors on the team are super,all
15,Thomas Rindom,"It is simple and straightforward to use Puregym on Emdrumvej. There is what should be if you do not require team training. If you have your own plan of exercises, the place is fine at a go price.",all
16,Anita  Sørensen,Lots of space and many machines you can use. Super nice staff.,all
17,greta ,The good team and the good coach make me look forward to Monday morning with a smile on my lip.,all
18,Anni,"It was a good experience because of the director. It was a bad experience because of the bathing conditions. The Rist had stopped, so we sow in water.Other days it is a bad experience when I exercise myself in the hall, and there is only one round stick for shoulder exercises!",all
19,Lene Andersen,PureGym in Værløse is a good place to train.Especially Zumba and ThaiBo are my favorite with a lot of lovely people on the teams.,all
20,Charlotte Pape,Many different teams - so there's something for everyone,all
21,Lillian Dalsgaard,Skillful instructors and lovely members of the senior team. The interest of the other participants is motivating to show up.,all
22,Jette,I think it's too long to get on Annette Løvgren's team in Mariendal. You should make more teams with her when you open the list then is but number 47? and there is October 23?,all
23,kunde,Old machines - time for upgrades. More welcoming staff could be desired,all
24, Torben,Almost everything is perfect at PureGym in Sønderborg,all
25,Charlotte Pedersen,"Friday the 22/9 I paid with a personal training card. The amount is drawn 2 times on my card. Today on 9/10 I still haven't received what has been drawn too much, despite the fact that the money should have been here by today!In my optics it is certainly not good customer service!So some came that the money...BUT there is still 258kr, I MUST HAVE ALL RETURN!!!! THE ERROR IS 100% JERES!!!",all
26,Michael Sigil,"Nice place to train, lots of room from the morning.",all
27,Janni,Cute and competent staff both at reception and in the team room.,all
28,Kunde,I've been training for 1.5 months and I'm super fond of it.,all
29,weldu tesfamichael,"I'm happy if I train, and the bot I work in has purely cool music, so I work while I'm having fun",all
30,Dzevdet Kazimi,I've trained at least 10 years and I'm so happy,all
31,Lena Rachlitz,For everyone. Good atmosphere and many opportunities,all
32,Toni Jensen,Nice center and a good atmosphere. It is easy to be inspired by others who train,all
33,Trine Bay,"Good space, good atmosphere and nice large locker room.",all
34,Sylvester Kirketerp Kristensen,"Despite expensive membership there is no service and a lot of problems. First day starts out that you have to pick up your card at the reception, however, you cannot get to the reception without a card and when you press the bell there is nothing. When you finally have your card continues the problems. Come down to train, check in, see I have forgotten the mik water bottle, home after it, come back and can not come in. There are no employees to help, before customer service to call, or anything. Will recommend everyone to choose a different center than pure gym.",all
35,Evelyn R,Cozy small training spot under FW/Puregym •,all
36,Claus Aasholm,Good center where ordinary people feel welcome and comfortable. Lots of gear and activities.,all
37,Bente,It lags behind in replacing worn-out equipment.,all
38,Annemette Uhre,Super sweet and present staff Good atmosphere in the center,all
39,Mette Damving,Friendly and good atmosphere when I enter PureGym.,all
40,Bent Ludvigsen,"Good training conditions, a wide range of machines, nice staff and not least a skilled and motivating personal trainer.",all
41,Peder Kirkegaard Sørensen,"I like the relaxing environment where you are also your own ""doctor "" and can get guidance when needed.",all
42,Victor Due,"It's okay, but there's no air circulation, so you're totally dying when you work out.",all
43,Sine,"Good room, nice atmosphere, incoming staff.",all
44,Alice Callesen,"Music in the spinning room is too loud. High music is in the long run harmful! Set up sound meter that can give hints about how high to play. Spinning bikes need to be cleaned. They are filled with sweaty salt! Generally, I think it lags with cleaning all around. Otherwise, ok center is about hold.",all
45,Maja Kornerup,Has always been super satisfied with •Pure Gym • in WAVES •,all
46,Kirsten,"I went down and joined the center and they were super nice and helpful. They joined me and made me an offer that I agreed to, but they didn't inform me that there was a six-month bond.When I resigned about two weeks later, since I thought there were too little machines, I wrote to customer service and explained the misunderstanding when it was only there I discovered it. They said it wasn't their fault, but my responsibility since it was on the receipt, and they refused to help. After a conversation back and forth where I asked them if we could find a solution, I got rude messages back, but at last they changed the resignation.This was a super frustrating experience where I felt cheated and downed by the staff. Even though we had changed the date of the termination, I didn't report back to PureGym if this is the way in which they solved misunderstandings, whether or not.",all
47,Bo Østergaard,Good atmosphereSweet staff Clean rooms,all
48,Hans Petersen,Good locations and bright rooms with many activities. Meet staff with a high level of service. Clean machines and locations and the possibility of a cup of coffee in comfortable chairs and sofas. A little breakfast on Fridays with a smile on their lips.,all
49,Karina  ,Good atmosphere. Clean and neat,all
50,Sumbal,"For over 2 months I tried to get in touch with an employee who is in charge of company-paid agreements. Since you have changed from fitnessworld to Puregym, it is not possible to extend its subscriber!I contacted staff in various centers, Puregym customer service chat 3 times, which refers to the company member email does not answer!! Now my subscriber has stopped as it has not been extended.",all
51,Jakob Kirial,Delicious Center that just plays with the loveliest happy staff and Manager Maria! Always smiling and welcoming.,all
52,Susanne Bentzen,"Good atmosphere, good equipment",all
53,Rikke Olsen,"I'm happy to work out in my local pure gym, but I have to admit that the cleaning effort has fallen tremendously... there is crap and fuzz everywhere, not so much in the changing, but otherwise everywhere else...the baddest thing I've ever seen is today's date... considering strongly changing to another center.",all
54,Gitte Frikke,"Clean, nice and good machines.Good indoor climate. Is very happy to train there.",all
55,Maja,Missing more energy is being spent on improving the team instructors and equipment instead of spending money painting walls and putting so bad conditions for the instructors that they choose to change company..,all
56,Jacob Michaelsen,The Puregym in Kokkedal is a versatile and good gym that meets my training needs.,all
57,Oliverrp,The equipment was great. Good atmosphere. Meeting people.Super friendly employees. Just mega cozy.,all
58,Martin L,Always nice center to train in.,all
