review,translation
"HOLDER IKKE HVAD DE LOVER!!De lovede os ved indmelding at vi kunne få 300 kr for henvisninger. Vi og vores drenge spurgte adskillige gange ind til det og fik hver gang at vide at pengene snart ville komme. Vi fik dem aldrig og meldte dem derfor ud og ville selvfølgelig ikke betale for den sidste tid, da vi ikke fik de penge de skyldte os. Vi gjorde heller ikke brug af abonnementet den sidste tid. Nu har vi udmeldt drengene og deres venner gør det samme. De siger også at den generel er gal med deres kundeservice. Nu har de så meldt os til inkasso og har meddelt at vi aldrig har gjort indsigelser selvom vi har masser beviser på det. Totalt fusker firma😤","DOES NOT KEEP PROMISES!! They promised us we would get 300 kr for each reference. Our bois and I requested the money multiple times and we were told every time that the money was on its way. We never recievede the money and thus we would not pay for the last time, since we didn't get the money they owed. We didn't use our subscription either. Now we have terminated the subscription of our bois and thier friends did the same. They also says that the customer service is bad. They have now refrenced us to the depth collectors and told us we should have made an inquiry even though we have a lot of proves that we did it. Scamming company."
"Nul stjerner og manglende fokus i sats Glostrup Stadivæk defekte maskiner. Bruser der er defekte, gulve er i stykker.Rengøring er svinsk.Og igen en ny center leder, der absolut ingen kompentencer har, til at vedligeholde et så ned slidt center.Og kommentar til bokse træning, som på ingen måde tager hensyn til resten af centeret, grundet manglende dør, musikken er sindssyg høj.  😡","Zero stars and lack of focus in Sats Glostrup stille defect machines. Showers are defect, floors are borken and the cleaning is discusting. Yet another new manager without any skill in charge of managing the run down center. Comments regarding boxing, there is no consideration for the rest of the center, due to missing door and a very loud music"
"Vi er lige startet og har fået en meget venlig, personlig modtagelse. Alt udstyr var tip, top. Glæder os til fortsat at komme SATS Køge, hvide by",We just started and have gotten a lot of friendly personal reception. All equipment was top notch. We look forward to join SATS Køge white city.
Det er umuligt at opsige sit abonnement uanset om jeg henvender mig fysisk eller prøver på hjemmesiden. Bliver henvist til at prøve og det virker ikke,"It is impossible to cancel ones subscription regardless of me going physically or through their webpage. Keep getting asked to try, but it does not work."
"Fitness på Skalbakken i Vanløse Er et lille super hyggeligt træningscenter Hvor der bliver drukket kaffe og sludre. Der er nu blevet malet nogle nye streger på væggene Men badeværelsesdørene er stadig meget slidte og grimme. Der trænges virkeligt til nye maskiner. De er meget slidte. PureGym Så der skal lige investeres lidt, før det bliver helt godt.","The fitness center at Skalbakken in Vanløse is a small and cozy center where people are drinking coffee and talking. The walls have been painted with new stipes, but the toilet doors are still very old and ugly. It really needs new machines. They are very used. PureGym needs to invest a bit before it gets good"
"Fint center med god instruktør. Er dog rigtig ked af, at seniortræning ligger så sent fredag. Kl. 9 eller 10 ville være bedre. Men vi seniorer kommer tit i sidste række.","Nice center with a  good instructor . I am a bit sad that the senior workout is so late on Friday, at 9 or 10 would have been better. We seniors usually are prioritized th least."
"(anmeldelsen er skrevet efter 8 besøg i centeret over periode på to måneder. Derudover har jeg en bofælle, der benytter centeret væsentligt oftere, som har samme oplevelse)Der mangler generel ledelse af centeret, ellers ville det ikke være så galt...- Der mangler konsekvent håndsprit i halvdelen af dispensere. - Alle toiletter er decideret ulækre. Det ligner umiddelbart, at der ikke tjekkes toiletter mere end 2-3 gange om dagen, hvilket er absurd, når man tænker på mængden af mennesker, der bruger centeret dagligt. Personale burde gå en runde hver time i peaktimerne, men flytter sig sjældent fra skranken, selv når der er flere på arbejde. Derudover lugter toiletterne harsk, hvilket tyder på manglende grundrengøring (andet end at tømme skraldespand og pudse spejl)- ingen vandautomater, hvilket betyder, at man er tvunget ind på ulækre toiletter for at fylde sin vandflaske. - Flere skabe i herrenes omklædningsrum virker ikke, hvilket betyder, at det kan være svært at finde et skab, når man skal træne i travle perioder. - Fejl og mangler overalt. Det er absurd, at tage så mange penge i kontigent, når standen på centret er så ringe. Reb til kabelmaksiner er f.eks. ved at falde fra hinanden. Mange kabelstativer virker ikke grundet manglende karabinhager eller andre relative små fejl, som let burde kunne løses. Den ene toiletdør i herrenes omklædning rum har manglet en lås i snart 2 måneder. Det samme gælder lyset i saunaen. Man føler sig efterhånden til grin, når SATS i ramme alvor kræver 409 kr (uden studie- eller ældrerabat) for det billigeste kontigent. Jeg ser frem til, at der kommer konkurrence nær Ørestaden, for det vil forhåbentlig være enden på Sats Fields eller deres dårlige serviceniveau.","The review is written after 8 visits to the center over a period of 2 months. Furthermore I have a roommate who experienced the same. There is a generel lack of leadership in the center, else it is not so bad. There is consistently missing hand sanitizer  from the dispensors. All the toilets are literally  nasty. It looks like the toilets are not checked more than 2-3 times a day, which is absurd givent he amount of peole who use the center daily. The personal should take a lap atleast once an our doing peak times, however they rarely moves from the desk, even when more people are at work. The toilets smell hards, which seems like a lack of cleaning (aside from emptying the bin and cleaning the mirros). No water taps which forces you to go to the bathrooms to fill your water bottle. Multiple of the storage devices are non functioning  which makes it hard to find a closet in the rush hours. Missing stuff all over the place. It is absurd that one can bill so much money when the center is in such a bad shape. The rope from the cablemachines are almost broken. Many cable stations are not working due to missing spring hooks or other small mistakes which could easily be solved. One of the doors to the male bathroom has been missing a lock for nearly 2 months. The same applies for the sauna. One really feels ashamed when sats in all seriousness charges 409 kr (without student or senior discount) for the cheapest subscription. I look forward to competition near Ørestaden, since this would be the end of Sats FIelds, or at least the bad customer service."
"Helt forferdelig luftkvalitet i viborgvej i Århus. Har forsøkt spørge både betjening, og online til puregym centralt. Men der sker ingen forbedring, og de skylder bare på at de ikke ejer bygningen selv, og at bygningsejere ikke tillader udluftning. Der har været virkelig dårlig luft i en måned nu, og det er simpelthen for dårligt for et fitnesscenter. Luftkvaliteten betyder altså ret meget når man står på løbebånd. Her er der behov for en hurtig løsning, for det er virkeligt hårdt at ville tage afsted til træning i det indeklima.Redigeret efter svar:Centerledelsen, de ansatte og puregym centralt er allerede kontaktet flere gange i løbet af oktober. Masser af undskyldninger, eller “vi sender den videre”, uden resultat. Så jeg er ikke videre optimistisk, når svaret her nok en gang er “vi sender den videre”.","Downright bad air quality at viborgvej in Århus. Have tried asking both staff and online for PureGym Central. There is no improvement, and they simply blame that they do not own the building themselves and that it is the landlord who is not allowing air ventilation. There have been such a bad smell for a month now, which is too not acceptable for a gym. Air quality means so much when you are using a treadmill. A solution is needed as soon as possible, it is not appealing to work out in that environment. Edited after response: Centerledelsen, the employed and PureGym Central has already contacted me on multiple occations during Oktober. Lots of excuses or ""we are sending it forward"" without result. I am not optimistic whent he reponse this time is probably ""we are sending it foward""."
Jeg syntes dør er et godt trænings center jeg syntes bare man skulle være mere obs på at der er nogle der træner i deres ude fodtøj men det står heller ikke nogen steder men alt i alt ok,"I think this is a good gym, however there should be more attention on people who workout without shoes, but this is not specificly mentioned anywhere, all around alright"
"Angår SATS Glostrup. Nu har 1/3 af spinningscyklerne ikke været funktionsdygtige i et halvt år, og resten har ikke været vedligeholdt. Hvis det ikke var for instruktørerne så havde jeg stoppet mit medlemskab.","Regarding SATS Glostrup. 1/3 of the spinning cyckles are non operational for half a year, and the rest are not kept up to date. If not for the instructors, I would have cancled my subscription."
"Søde rar unge mennesker der arbejder, de har et smil på læberne og er altid hjælpsomme sige hej og farvel..","Nice young people who works who are alwys smiling and helpful, they are always greeting and saying goodbye."
