ID,text,annotator
2,Nice welcoming staff who always manage to keep the center clean...Good usable machines and well with space...What can be annoying is that telephone almost fills up more than the training...Too many users sit immersed in their phone while they use the machines...Train when you have to train...,Veron
4,"Has trained for many years here and Bornholmsvej, has just come from the Factory and good staff but has always been to you here as machines are the coolest and straight to, and everything is as I left it •20 figures •",all
8,"I trained 4-6 times a week for several years, as there is always a center nearby - super easy - so there is no excuse not to squeeze a quick workout into a busy everyday life, and still stick to a healthy and active lifestyle.Generally a friendly staff, wide selection of machines, as well as fun and efficient teams ",all
11,"I was set up as a member in August 2023 at the Ørestad gym. I asked to terminate my membership immediately until the end of October when I moved away there.Puregym employee looked me in the eye and said that I was set up and signed up again, but yet I was charged in November. I went to the center, but they could do nothing but keep my money and terminate me (again).I feel lied to and stolen from.It's under all criticism.",Veron
12,"We train in PureGym at Christianshavn. It is a nice centre with a high ceiling - many opportunities for versatile training and you feel comfortable among the other guests in the center. There is almost always room to train - there is clean and nice and there is a friendly staff. However, there is very little area in the center for extension and self-training.",all
13,"New dumbbells are nice. The center always has a good tone and a welcoming staff. The bathroom and men's changing can easily withstand a refreshment. Currently, the men's bath has been rebuilt - though I find it highly questionable that there is no progress in the renovation at all!! The bath has been closed since the 20th and there is just scratched in a hole in the floor.",all
14,"Nice price and the teams are good.... Changing in several centers is bad and the cabinets are broken up, so you need to tighten up a little...",Veron
15,"Great to get going! Sometimes it can be difficult with the motivation, but then it's good to have a training taster who can keep you going.",all
16,Got the worst treatment in Hobro after center manager has changed in my membership. My card didn't work that goes 14 days but fatigue text from center manager and staff before the card works again..the center is dirty and several machines are broken. Can't recommend the Hobro center. But Gug is super fine.,all
18,"Another good training in PreGym completed. I have trained for many years in this center. I have done that because this center has a very good atmosphere, welcoming staff where you always feel welcome. But most importantly of all lots of space, equipment and machines.",Veron
19,"It is a good place to train, here comes people of all age groups - the service is top and the same goes for machines, weights etc. and fine cleaning has been done.",all
20,"floors in the men's bathrooms are smooth so you have to walk very carefully, so some of the machines intrude when they break up all the time",all
25,Good facilities and in general a good place to train,all
28,Good Teacher,all
29,Clean rooms and very friendly/ helpful staff!,all
32,"I ask what the possibilities are and they automatically block it. Ask them not to block it and they say it cannot be changed. Contact a new person who will lecture me on whether they have informed me about the matter. Even though she finds out that I didn't say they should do it. Will or can she do nothing when the action is done. Super disappointed by the greed of Puregym, slave there isn't another center close... deaf",Veron
33,"OK place to train but I'm not impressed with the service. For example, I really like that there are offers for coffee in most centers. But time and again I get annoyed that there is no possibility to cook some water for coffee and there are no staff available when you call them in their opening hours. Then they're always ""meetings."" That's enough for me to think about signing up! Hope it gets to the right person, so it becomes a constructive input instead of sour upbringing. And the review isn't about the staff's courtesy when you meet them!",Veron
37,The best machines in the city and the sweetest staff,all
38,Very fond of team training. Gets the whole body trained. Good instructors and good atmosphere. Space for everyone.,all
39,Why can't I get in?,Veron
40,There's everything I need for my training and well-being.,Veron
42,"Good fitness centre with the necessary training machines and equipment, few shortcomings in training machines",Veron
43,Feels very motivated after I have received a personal trainer.,Veron
45,Training centre with many machines and many options.,all
