,ID_x,text,annotator,Not Determined,Equipment,Staff,Hygiene,Location,first_11,person,type,rating,first_7,ID_y
0,4,"Has trained for many years here and Bornholmsvej, has just come from the Factory and good staff but has always been to you here as machines are the coolest and straight to, and everything is as I left it •20 figures •",8413a258-Christian.csv,,1.0,1.0,,,has trained,Christian,Har Trænet i mangen år her får mest ud af det her 👍👍og…,5.0,has tra,3.0
1,8,"I trained 4-6 times a week for several years, as there is always a center nearby - super easy - so there is no excuse not to squeeze a quick workout into a busy everyday life, and still stick to a healthy and active lifestyle.Generally a friendly staff, wide selection of machines, as well as fun and efficient teams ",8413a258-Christian.csv,1.0,1.0,1.0,,1.0,i trained 4,Christian,Altid et træningscenter tæt på,5.0,i train,7.0
2,12,"We train in PureGym at Christianshavn. It is a nice centre with a high ceiling - many opportunities for versatile training and you feel comfortable among the other guests in the center. There is almost always room to train - there is clean and nice and there is a friendly staff. However, there is very little area in the center for extension and self-training.",8413a258-Christian.csv,0.0,,1.0,1.0,1.0,we train in,Christian,Christianshavn - et center med højt til loftet.,5.0,we trai,11.0
3,13,"New dumbbells are nice. The center always has a good tone and a welcoming staff. The bathroom and men's changing can easily withstand a refreshment. Currently, the men's bath has been rebuilt - though I find it highly questionable that there is no progress in the renovation at all!! The bath has been closed since the 20th and there is just scratched in a hole in the floor.",8413a258-Christian.csv,-1.0,1.0,1.0,,,new dumbbel,Christian,Centeret har altid en god tone og et imødekommende personale.,4.0,new dum,12.0
4,15,"Great to get going! Sometimes it can be difficult with the motivation, but then it's good to have a training taster who can keep you going.",8413a258-Christian.csv,,,1.0,,,great to ge,Christian,Super fedt at komme afsted!,4.0,great t,14.0
5,16,Got the worst treatment in Hobro after center manager has changed in my membership. My card didn't work that goes 14 days but fatigue text from center manager and staff before the card works again..the center is dirty and several machines are broken. Can't recommend the Hobro center. But Gug is super fine.,8413a258-Christian.csv,0.0,-1.0,-1.0,-1.0,,got the wor,Christian,Fik den værste behandling i Hobro efter…,1.0,got the,15.0
6,19,"It is a good place to train, here comes people of all age groups - the service is top and the same goes for machines, weights etc. and fine cleaning has been done.",8413a258-Christian.csv,1.0,1.0,1.0,1.0,,it is a goo,Christian,God service og fine træningsforhold,5.0,it is a,18.0
7,20,"floors in the men's bathrooms are smooth so you have to walk very carefully, so some of the machines intrude when they break up all the time",8413a258-Christian.csv,-1.0,-1.0,,,,floors in t,Christian,gulver i herrenes bade rum er glat så…,4.0,floors ,19.0
8,25,Good facilities and in general a good place to train,8413a258-Christian.csv,1.0,1.0,,,,good facili,Christian,Gode træning,5.0,good fa,26.0
9,28,Good Teacher,8413a258-Christian.csv,,,1.0,,,good teache,Christian,God atmosfære,4.0,good te,29.0
10,29,Clean rooms and very friendly/ helpful staff!,8413a258-Christian.csv,,,1.0,1.0,,clean rooms,Christian,Venligt og hjælpsomt personale,4.0,clean r,30.0
11,37,The best machines in the city and the sweetest staff,8413a258-Christian.csv,,1.0,1.0,,,the best ma,Christian,De bedste maskiner i byen og det…,5.0,the bes,40.0
12,38,Very fond of team training. Gets the whole body trained. Good instructors and good atmosphere. Space for everyone.,8413a258-Christian.csv,1.0,,1.0,,,very fond o,Christian,Meget glad for holdtræning,5.0,very fo,42.0
13,45,Training centre with many machines and many options.,8413a258-Christian.csv,1.0,1.0,,,,training ce,Christian,Træningscenter med mange maskiner,4.0,trainin,50.0
14,49,"Not the best place to train, too many in a gym.",8413a258-Christian.csv,-1.0,,,,,not the bes,Christian,Ikke det bedste sted at træne,3.0,not the,55.0
15,51,"Nice clean, sweet staff and good atmosphere",8413a258-Christian.csv,1.0,,1.0,1.0,,"nice clean,",Christian,Dejlig rent,5.0,nice cl,57.0
16,54,"I've been trying to work out in PureGym Vejlevej, Fredericia. My card has been jammed due to a situation that happened 3 days ago. I could understand on the manager who was working today (26/10/23 at 13.30) that the head office has decided to banish me for 2 years for threats which is the lie. Furthermore, the manager said that there is no sound on the surveillance but that I have threatened one of the members The right version is that I was pushed and threatened by a member who is clearly on steroids in PureGym. He was pushing me away and threatened me violently. The police came and questioned us both. The police closed the case (for 3 days ago 23/10/23 and did not want to look at the monitoring and assessed that he was not allowed to use both machines at the same time. But according to this manager's the head office will want to make a decision anyway. The police closed the case (for 3 days ago 23/10/23 and would not look at the monitoring and decided that there was no push on the threat or like. But the video. But, according to this case, the manager's got to the head manager's guy's guy's guy wants to run a guy's guy's quite want to make a decision anyway quite a decision. I made a decision. I made a decision. I made a decision. I have made a decision on the case.",8413a258-Christian.csv,-1.0,,-1.0,,,i've been t,Christian,Udsat for vold i PureGym men er blevet bandlyst ???,1.0,i've be,60.0
17,64,"Go mood, friendly staff, and cleaning tiptop",8413a258-Christian.csv,1.0,,1.0,1.0,,"go mood, fr",Christian,Go stemning,5.0,go mood,74.0
