author_name,rating,text
Arne Ziebell Olsen,5,"This applies only to Gentofte/Lyngbyvej and Oslo Square. Good functional-right machines. Lovely teams with a ORDENT floor that doesn't load the joints and tendons, and the right lighting, ALWAYS clean - all over, and always friendly and welcoming staff:-)"
Anette,5,"Great selection of machines and team training. Clean centers, calm and welcoming atmosphere. Super service-minded staff. Professional and motivating instructors, with targeted training. It's fun to be on hold, it's nice to step in the door, I always meet a smile on my lip."
Laura Lacziko,4,"The mood is good, and the place is large enough and has a good selection of equipment. I would like if there was a rule about going outside the shoes out at the entrance and also cleaning the shower drain system more often. Hair gets clogged up up there and it smells. It would also be nice if everyone could contribute more by, for example, putting the weights back where they belong!!!"
Hanne Andersen,5,Feel welcome to me.Good directors.But please put up notes that the girls have to close the closet when they go. It annoys me boundlessly that they yawn and you walk into them.
Henriette Ini Bing,3,"I love my Zumba team at Ditte on the Library Road in Hvidovre.But the center is really dirty all over, you shouldn't look along,floor/walls, changing clothes, shower, toilet, in short, a very dirty center."
Lone,5,Clean and neat. Good bright rooms. Many and good machines. Helpful staff. Nice that you can choose to train in several centers.
Sucena Gomes,1,"creates me online as soon as I have paid and the money is taken from my account - it says ""couldn""t big entered data. Please try later it just happened again for the second time now. Also, you have to wait 8+ days before your money comes back in the account. For your own sake, just go straight down to the fitness center, and set up there - as it clearly doesn't work online •"
KELD VOLDER,5,A nice gym with good harmony and room for everyone regardless of the level of ambition.There are new colours everywhere and employees clean up and clean up when needed.
Jakob Søndergaard,4,"Puregym is a very good gym with a wide range of training machines etc. There are good bathroom conditions, nice and clean and staff - which are friendly and helpful. It is clearly recommended to choose this center."
Peter Birk,4,"A good and clean gym with welcoming employees.Some of the rowing machines are inoperative, and weight benches are missing for the stomach and back exercises in a lying state."
Christine ,5,"It is always a good experience to get to the center - smiling and sweet employees. A cozy and nice atmosphere everywhere. Everyone is welcoming, and you are just part of the community from day one. There are so many cool teams on the team plan that it can be difficult to choose •"
Stephanie,3,There should be some class teaching where you learn how to use the machines... it's annoying that you can't learn it incl. in your membership Good service but better reception of new cue be Nice... i.e. tour of the machines etc.
Brian,3,Training in Pure Gym has recently become a deteriorated experience. Cleaning and maintaining machines are heavily decreased as well as the purchase of various options are saved away.
Dorte Eisensø,4,"A smaller center- nice, untied and neat and clean. Most staff are sweet and friendly"
josi bjerre,1,Rødovre center has fallen dramatically in service and you don't feel very welcome.The café area is under all the criticism that is lacking chairs/table and the bar chairs are put together with tape!!Water in the shower is almost not existing!The instructors on the team are super
Thomas Rindom,4,"It is simple and straightforward to use Puregym on Emdrumvej. There is what should be if you do not require team training. If you have your own plan of exercises, the place is fine at a go price."
Anita  Sørensen,5,Lots of space and many machines you can use. Super nice staff.
greta ,4,The good team and the good coach make me look forward to Monday morning with a smile on my lip.
