ID,text,rating,enterprise,Not Determined,Staff,Equipment,Hygiene,Location
206,Can't complain. They do their job very well and are nice to help. I love the classes and there is many to choose from. I look forward to Denmark opening up properly again so we don't need masks in the gym though 😉Update! No masks! So nice! I've missed it!🥰,5.0,PureGym,,1.0,,,
207,"Big gym spanning 3 floors. Good selection of benches and power racks. All equipment is of the lowest quality possible (Technogym) and has clearly been compromised to maximize profits. This lack of care for traning quality also becomes strenghtend by obscure rules, such as backpacks/gymbags or similar being forbidden in the gym. Receptionist staff are all super friendly and helpful, and the ALL-IN and heatwave yoga are excellent offers. This gym is very good at everthing not related to actual training. Would recommend if your looking for a cheap place to just do cardio and some strength training.",2.0,PureGym,0.0,1.0,-1.0,,
208,Love this gym! Best instructors and facilities. Only FW gym on Funen that has Crossfit classes. Very good and big crossfit area as well,5.0,PureGym,1.0,1.0,,,
209,Fine place but watch your parking meter.,4.0,PureGym,0.0,,,,
210,Lots of space and it's nice and clean,5.0,PureGym,1.0,,,1.0,
211,"Good equipment , not a busy location so it’s great. Staff friendly 😊",5.0,PureGym,1.0,1.0,1.0,,1.0
212,Very nice 😉,5.0,PureGym,1.0,,,,
213,"Nice enough local centre, but many of the machines are broken (and have been for the past several months without being fixed) and other machines are so badly maintained that it's a matter of relatively little time before they break.There is also a super bad culture in relation to cleaning, the likes of which I have never seen.The staff are nice enough, although they are not around very often.",2.0,PureGym,,0.0,-1.0,-1.0,1.0
214,"Friendly staff, good instructors and nice bathing conditions",4.0,PureGym,1.0,1.0,,1.0,
215,"Many broken machines.There is dirt on the handles for the dressing rooms.There is dust on several of the machines.Music is played so loud on Saturday nights that you would think it was a disco. If only the music was good.But it's just ""head knees and toes""No staff on.",1.0,PureGym,-1.0,-1.0,-1.0,-1.0,
216,"Ventilation in the summer is terrible, otherwise decent place",3.0,PureGym,0.0,,,,
217,Slightly tight but got everything you'll need for a proper workout.,4.0,PureGym,0.0,,,,
218,🤩,5.0,PureGym,1.0,,,,
219,"Clean, nicely structured, good and well maintained equipment! 2 thumbs up.",4.0,PureGym,1.0,,1.0,1.0,
220,It made me sweat.,5.0,PureGym,0.0,,,,
221,"Nice size fitness world, every thing a amateur could need, and even a lot of pros would consider the place to be well stocked with equipment.",4.0,PureGym,1.0,,1.0,,
222,"Big gym with everything what you need. Between 8-11 in the morning, gym is almost empty, which is nice. Have separate small room for doing floor exercises without being seen",5.0,PureGym,1.0,,1.0,,
223,I think they should add more classes and more times to go,3.0,PureGym,-1.0,,,,
224,Good atmosphere and friendly service.,4.0,PureGym,1.0,1.0,,,
225,Tidy and has everything you need,4.0,PureGym,1.0,,,1.0,
226,"Good gym with a very varied set of available equipment. Prices are cheap and it is open 24/7 with card access. Combined with good cleanliness and friendly staff, it's a good place to get in the daily workout.Note that unlike most other gyms in the area, this particular Fitness World allows a cheaper membership that is ONLY valid for this one location. If you don't want access to multiple locations, this can yield extra savings.",4.0,PureGym,1.0,1.0,1.0,1.0,
