enterprise,author,rating,review,platform
PureGym,madi sharp,4,"Sweet small gym, staff are kind when you see them but aren't there most of the time. Some classes are available but it is primarily machines and weights. Good for the price.",Google
PureGym,Lewis Atkins,2,"Just a very bad gym. Staff don’t really care, don’t blame them tbh it’s miserable in here. All-in deal is bad value. Lots of equipment but the space is pretty sad and windowless",Google
PureGym,Eric,1,"terrible facilities
bathrooms are gross, dirty and smelly
people who live on the streets nearby sneak in the bathrooms and constantly use them, leaving a mess
do not recommend joining this place
the arcade to get to the gym is packed with people sleeping on the floor, feels unsafe and dirty",Google
PureGym,Rune Perstrup,1,"An Unhygienic Coronavirus Petri Dish.

I have been working out in several Fitness world centers around Copenhagen, and when it comes to basic matters of hygiene, this center is the worst. I have visited the center a couple of times so what I describe here is not an outlier.

There is an extreme limited number cleaning liquid dispensers - usually 1 or 2 per large room

Nobody cleans their equipment after use. Nor does the staff encourage basic hygienic behavior.

I have not at any point seen any employees go about doing their cleaning routine.

I find this lack of responsibility astounding since we are in the middle of a hotspot in the middle of a pandemic. I have visited other fitness world centers that do take their responsibility seriously.",Google
PureGym,Mario Piazza,1,"In a huge gym there is only one hair dryer and it’s not working. I asked the staff to fix it one week ago and they told me they will replace it immediately. Today still the same problem and it’s even dangerous as the wire is open. I told the staff guy that I suffered from sinusitis and have to blow my long hair. I even asked him to give me the one in the women’s changing room for few minutes. He said the hair dryer is fixed. When I asked him how is it possible that in such a huge gym there is no other hair dryer, he told me that they didn’t bring the new hair dryer yet and there is no other one. Unacceptable.",Google
PureGym,Mark Saraira,1,"If it possible to give 0 star a will, i cancel my membership and tell the staff in the gym that i gonna move to another city, the say ok but the money for February we cannot give it to you back(i train 1 time in February), i say ok just cancel me member the say ok, now 01.03.2023 the received from my card again 239 for nothing!!, i’am in another city i cant go to the gym and they still received from my card money, stupid rules and the manager who say to me in February you will not pay anymore is lier. I will never ever update my membership again in your gym, (take my money for nothing).",Google
PureGym,Angi Las,1,"The Studio is not in best Shape. As Many before me wrote: it’s very small, the devices are packed!! Could be a lot cleaner - especially the toilets.
But what bothered me most is the very little amount of training devices: Not a big selection to choose from and therefore missed a lot of my usual training equipment.
The biggest critique point for me is the age of the devices: they are all old, especially the Steppers on the second floor are A NIGHTMARE. Everything could be a lot more modern.
Also big critique: the staff literally has no idea about nothing. You get different info everywhere, they don’t know anything about the contracts or what info you need to sign up for a membership. Also found all of them to have a certain „annoyed“ attitude.
I am really truly disappointed in the Studio especially because from outside it gave such a nice impression.
Will go to another fitness world studio in the future and hope that the next one will be more modern and clean und the staff maybe a little more educated.",Google
PureGym,Daniel Storm,2,"Watch out! In the mens changing rooms there are someone unscrewing the locks so they can open the lockers even if you have your own lock on.

This has been a big problem over the last year. And Fitness World do not inform you about this!!!!",Google
PureGym,Eduardo Simões,1,"Attention! I have noticed some screws missing in the locks of the locker room (males). This allows the door to be opened even with a lock. Always choose a locker with screws as the screws cannot be removed with a lock on. Also, booking system is problematic.",Google
PureGym,Navid Mosadeghi,5,It’s clean and well equipped.,Google
PureGym,Carlos Olivo,5,Very nice gym. I got a week pass for 110 dkk or something like that wich is really surprisingly cheap for this quality gym. You can also do daily passes. The only thing to bear in mind that after 6pm and on the weekends there is no one to check you in so come before if you want to singup and then you can use the gym using a card until midnight.,Google
PureGym,Thomas Jakins,4,"Never really too busy but it is quite small. Like alot of fitness worlds it could update the machines.
Generally its very clean, its one of the better fitness worlds.",Google
PureGym,Hendrik H,1,Gym has only very limited service times. Impossible to workout after this time if you only want to workout for a day.,Google
PureGym,Martha V. Shelton,5,"well appointed gym; not crowded mid
morning",Google
PureGym,Sharad Govil,5,Great Gym- I was a bit nervous as this is my first time to a gym in Denmark but the front staff was very friendly and helpful. For 99DKK I could get a pass for a week. It opens from 5:30 AM to 10:00 PM. The timing showed in google is when front staff is available. You need an access card to enter so if you are first times from overseas go after 8:00 AM so staff can open the door for you.,Google
PureGym,Amit K Mishra,5,All modern equipment are available at a reasonable subscription rate. Definitely I will join soon.,Google
PureGym,Mikkel Thygesen,3,"Good facilities, but it is in dire need of better climate control. It's only about 19c outside now but the inside the gym is burning (when doing workouts obviously). The group hall is even worse because they're not allowed to open the windows.",Google
PureGym,Christian Haugbølle,1,"Signed up and regretted my subscription within the 14 days cancellation period. I had a very, very hard time getting them to understand that I should not pay for the rest of the month + 1 month if I cancelled within 14 days (they even asked if I had actually READ their terms, which I had ... and turned out their center-leader had not, which was very awkward for her). I can't recommend Fitness World.",Google
PureGym,D Kar,5,"Huge training space. Good quality classes. Would be great for me if instructor use a little bit of English too for the people who don't speak danish.
I like fitness world.",Google
PureGym,Ivan Vlasov,1,"I checked on their website that they are open and offer one-time visit. I came, waited for 10 minutes - no administrator appeared (the client/members were there), and then I left this place.",Google
PureGym,Viktor Y,3,"TL;DR: Music sucks, most staff good, sometimes spotless and sometimes dirty. No enforcement of basic gym etiquette. Gym is probably a bit too busy. A true to size 3 stars.

The most solid 3 stars you can give.

The music is a deep dark abyss that has sold more headphones than Apple sold iPhones.

The staff has always been kind and helpful except for the younger blonde girl there, who seems to hate every second of being there.

People don't have basic gym etiquette and I think the staff should really enforce it, and not stand by. So many of us would appreciate it if the staff reminded people to unrack their weights if they saw people leave them. People drop weights deadlifting 2 plates like they're Ronnie Coleman, this is another thing that the staff should address with one warning and an exit. If you can't put it down, don't pick it up.

If you're running your one rep max day, just use a platform, we're lucky enough to have two of them in a box gym.

I go off peak hours and I gotta say, I can't even begin to imagine what peak hours look like when there are so many people there off peak.

The floors are spotless some half the time, but the other half, they're disgusting.

I'm sorry, but all the people complaining in their reviews for being kicked out with outdoor shoes, go somewhere else.

Two decently sized machine halls, rowing machines and lots of cardio stuff.

Lots of weights, lots of plates but just one cable row machine. I'd upgrade my membership if there were decent classes; like yoga, HIIT or boxing during normal employed human hours (before work or after work)",Google
PureGym,Aleksandar Maricak,3,Relative okay gym. Matrix machines are not the best and the Nautilus were better before renovation. Dumbbells are not put in the correct location and it is always overcrowded. Not enough machines compared to the demand.,Google
PureGym,Type One Fitness,1,They changed the cost of a guest fee from 50kr to 69kr and the new Matrix equipment is so so so uncomfortable. Since PureGym took over this place it is easily the worst gym in Østerbro!,Google
PureGym,Ẹniọlá,4,"Go-to location.
Very spacious and always clean.
Staff are nice and helpful.
And overall atmosphere is very easy going yet focused and motivating :)

Check it out yourself though",Google
PureGym,KlippeG,2,"Nice location, but very small center compared to how many people train there. You have to be lucky sometimes to get a treadmill. It has been a chronic problem since I started there last summer that many treadmills do not work, and unfortunately it is only getting worse. Has a good area in the basement for stretching",Google
PureGym,Nicolas Wirth,3,"Medium cleanliness, too few barbell racks compared to the total area this gym covers. Could be better, could be worse. It has never been too crowded and the clientele is nice.",Google
PureGym,Tyler C,1,"They always play games with pricing. Claim it's 134,50/month, then want to charge 143,18 with no explanation of the extra fee. It's clear you simply can't trust Fitness World.",Google
PureGym,Lassana Sanogo,5,"This gym is very clean, not overcrowded and reasonably priced. Give it a try.",Google
PureGym,subnet001,3,"If you wish to pick up heavy things and put them down again in the ugliest building in town you've come to the right place. This place has it all! It's got infinite running things, stay-still-pedallers, heavy handles, pull ropes, hard-to-pick-up-if-you're-weak balls, make-your-life-difficult machines and hulahoops. All are kept well maintained and on a leash if necessary. According to rumors, there are also classes for different things but I don't know anything about that. Get the app,  it helps with stuff I've never used and looks nice.

*EDIT* I'm revoking a star for no longer being open 24 hours! I wanna lift at night! Otherwise, no change.",Google
PureGym,Bill C,5,"399 kroner for 1 month or 75 kroner for 1 day.  No commitment or long-term contract.  The gym has everything you could want, everything is new and very nice.  Staff is also very good.  Highly recommend.",Google
PureGym,TheFelza,1,"I was told one thing in English, then made sign something else in Danish, so they could charge me for time I wasn't even in Denmark",Google
PureGym,Theis Egeberg,5,"Pretty much every type of training equipment you find yourself needing. It is open 24/7 and has a nice system for entering and exiting. The place is clean and neat, and the atmoshpere is relaxed. A special plus about this center is the high ceilings making the air circulation very nice. Staff is always smiling and friendly, never felt that it was overcrowded with visitors, even at peak hours.",Google
PureGym,Roy Moukarzel,5,"One of the best places to train in Denmark. Many locations specially in Copenhagen, with good equipment.",Google
PureGym,Sqweebo1,5,"These 5 stars are for the hardworking staff who make this gym shine. If by some chance they have been laid off or furloughed due to the pandemic, please hire them all again.",Google
PureGym,Andre Harris,5,This place is really nice... has tons of machines to use and is open 24hr. Perfect if your trying to avoid the crowds.,Google
PureGym,popov dimitar,1,"Is the busiest fitness world what i ever seen before . It’s absolutely desastre. I cannot workout normally… today i make for 1h - just 3 exercises. I recommend to nobody subscribe there . They don’t care about the occupancy… (may be we need new covid pandemy) sale and sale new memberships. Also they grow up with the price ? For what? Unfortunately I’m looking for other place with a months; just here is noone option. I hope other companies make good the marketing. Repeat: not subscribe in this gym you will sorry a lot 😪 doesn’t matter the day; weekends ; evenings or mornings all the time is full full full , no one place free to work ! You pay your money for nothing!",Google
PureGym,Sebastian,1,"Unfortunately this gym has been severely worsened by the “upgrade” in connection with the change to PureGym.
The machines (Matrix) are really bad and it seems that there’s less equipment too.
Will not be coming back.",Google
PureGym,Wouter Roosen,4,"Really like this gym,  I just think it gets a bit dirty. They vacuum every day but that seems to be it.  A lot of equipment and different types: machines,  free weights, kettle bells, balls etc... and great space too",Google
PureGym,Lucas C,2,"They should put more space to park the bikes, it is very busy in the afternoon and I didn't like that they made me take off my shoes when that rule is not written anywhere",Google
PureGym,Fab Indi,5,"Very nice gym with brand new machines. Very clean, paint is all new and staff is super nice.

Price is also great.",Google
PureGym,J Masnec,3,"Ok gym for a chain. Slection of machines is good, slection of classes not so good. Not crowded. Highlight is the two squash terrains. Downside - you cant reserve them online if you're not a squash member. Fitness membership doesnt help, you have to have a seperate squash membership.",Google
PureGym,Isabel Monteiro,1,"Jesus Christ..
this place needs a deep cleaning !!!!  The shower is full of spiderwebs, the mats were all very wet of sweat..

Be careful at the room were they do boxing the wood floor is very slippery

Not enough  hygge but:

Friendly employees !
Cool time at the boxing class!",Google
PureGym,Ewa Palenta-Rusin,2,"I give 1 star more than #fitnessworld actually deserves for the great ""hold"" instructors. Otherwise it is a poor service fitness center that want to rip you off at every turn. I got a special offer when I signed up because it was FW birthday - ""All-in"" free for one month. It was the end of month and I did not get to use it at all. But to my big astonishment, it was an opt-in subscription service, so I was actually billed for the next month without even being notified beforehand! I cancelled it right away but I had to pay for that month anyway. So I used it a few times. And here comes the next surprise - again I was billed for the product I ""bought"" on top of my monthly fee.
I am asking, is that what a reputable fitness chain do? I doubt..",Google
PureGym,William Maddocks,4,"One of the better fitness worlds, nice and open, high ceilings, nice facilities.

Only thing that stopped it being 5 stars is the lack of cleanliness in the bathroom/shower areas sometimes",Google
PureGym,Kirsten Evans,3,"Great place to work out, the Dance Fit class was really good.  But as with all FW centers a good cleaning, would be great!",Google
PureGym,Bartosz Gałecki,3,"Air conditioning is not turned on. Instead they put a couple of fans around the gym, which just move hot air around. Not super clean but I've been to worse places. Some machines are broken for weeks without maintenance.

Good thing is that people put the weights back",Google
PureGym,wandyr hagge,4,"Nice place for a work out. Clean. Fairly good equipments. Within the price range of other facilities. A bit under-staffed, in my opinion. Difficult to find someone to ask a question. And even If you find someone, It is not sure you will get an answer...",Google
PureGym,Thomas Kägi,4,Visited this gym during my vacation. It has Seen better times but Its still good to get some gains:-),Google
PureGym,Joar Torbiörnsson,1,Had my membership cancelled in the counter in proper time but still had to pay additional month.,Google
